iter	Passed	Remaining
0	2	247
1	4	225
2	6	217
3	8	195
4	9	189
5	11	183
6	14	192
7	16	191
8	18	190
9	20	184
10	22	178
11	23	171
12	24	166
13	26	161
14	27	156
15	29	152
16	30	148
17	31	144
18	32	138
19	33	133
20	34	129
21	35	124
22	36	120
23	37	117
24	38	114
25	38	110
26	39	107
27	40	104
28	42	103
29	43	100
30	44	98
31	45	96
32	46	93
33	47	91
34	48	89
35	49	87
36	50	85
37	51	83
38	52	81
39	52	79
40	53	77
41	54	74
42	55	73
43	56	71
44	57	69
45	58	68
46	58	66
47	59	64
48	60	63
49	61	61
50	62	60
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	69	49
58	69	48
59	70	47
60	71	45
61	73	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	78	37
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
