iter	Passed	Remaining
0	149	149655
1	151	75720
2	153	51042
3	155	38690
4	157	31296
5	159	26386
6	161	22903
7	163	20307
8	165	18251
9	167	16593
10	169	15227
11	171	14080
12	172	13117
13	175	12339
14	177	11645
15	179	11020
16	181	10482
17	183	9995
18	185	9569
19	187	9166
20	188	8807
21	191	8493
22	193	8206
23	195	7951
24	197	7703
25	199	7463
26	201	7248
27	203	7050
28	205	6872
29	207	6703
30	209	6535
31	210	6375
32	212	6224
33	213	6077
34	215	5935
35	216	5799
36	217	5672
37	219	5550
38	220	5430
39	221	5313
40	222	5203
41	223	5098
42	224	4995
43	225	4893
44	226	4797
45	226	4706
46	227	4618
47	228	4533
48	229	4451
49	230	4370
50	230	4294
51	231	4220
52	232	4149
53	233	4086
54	234	4027
55	235	3965
56	235	3903
57	236	3845
58	237	3788
59	238	3732
60	239	3679
61	239	3626
62	240	3575
63	241	3526
64	241	3479
65	242	3432
66	243	3388
67	244	3345
68	244	3304
69	245	3263
70	246	3222
71	247	3184
72	247	3149
73	249	3116
74	250	3084
75	250	3049
76	251	3014
77	252	2981
78	252	2948
79	253	2917
80	254	2886
81	255	2855
82	255	2822
83	256	2793
84	256	2765
85	257	2737
86	258	2710
87	259	2684
88	259	2659
89	260	2633
90	261	2609
91	261	2585
92	263	2566
93	264	2547
94	265	2526
95	265	2503
96	266	2481
97	267	2459
98	267	2438
99	268	2418
100	269	2397
101	270	2377
102	270	2358
103	271	2339
104	272	2320
105	272	2302
106	273	2284
107	274	2266
108	275	2249
109	275	2231
110	276	2215
111	277	2201
112	278	2188
113	279	2173
114	280	2157
115	281	2142
116	281	2125
117	282	2110
118	283	2096
119	283	2081
120	284	2067
121	285	2052
122	285	2038
123	286	2024
124	287	2011
125	288	1998
126	288	1984
127	289	1971
128	290	1958
129	290	1946
130	291	1933
131	292	1923
132	293	1915
133	294	1904
134	295	1892
135	296	1880
136	296	1869
137	297	1858
138	298	1847
139	298	1836
140	299	1825
141	300	1813
142	300	1803
143	301	1792
144	302	1782
145	303	1772
146	303	1762
147	304	1753
148	305	1743
149	305	1733
150	306	1724
151	307	1718
152	309	1710
153	309	1701
154	310	1692
155	311	1684
156	311	1675
157	312	1666
158	313	1657
159	314	1649
160	314	1639
161	315	1630
162	316	1622
163	316	1614
164	317	1607
165	318	1599
166	319	1591
167	319	1583
168	320	1575
169	321	1568
170	322	1562
171	323	1557
172	324	1550
173	325	1543
174	325	1535
175	326	1528
176	327	1521
177	327	1514
178	328	1507
179	329	1500
180	329	1493
181	330	1486
182	331	1479
183	332	1472
184	332	1466
185	333	1459
186	334	1452
187	334	1446
188	335	1440
189	336	1434
190	337	1430
191	338	1426
192	339	1420
193	340	1414
194	341	1408
195	341	1402
196	342	1396
197	343	1390
198	344	1385
199	344	1379
200	345	1373
201	346	1367
202	346	1362
203	347	1356
204	348	1351
205	349	1345
206	349	1339
207	350	1334
208	351	1329
209	352	1324
210	353	1321
211	354	1317
212	355	1312
213	355	1307
214	356	1302
215	357	1297
216	358	1292
217	358	1287
218	359	1282
219	360	1277
220	360	1272
221	361	1267
222	362	1262
223	363	1257
224	363	1253
225	364	1248
226	365	1244
227	366	1240
228	367	1236
229	368	1235
230	369	1231
231	370	1226
232	371	1222
233	372	1219
234	373	1215
235	374	1211
236	375	1207
237	375	1203
238	376	1199
239	377	1195
240	378	1190
241	378	1186
242	379	1182
243	380	1178
244	380	1174
245	381	1170
246	382	1167
247	384	1164
248	384	1160
249	385	1156
250	386	1152
251	387	1148
252	387	1144
253	388	1141
254	389	1137
255	389	1133
256	390	1129
257	391	1125
258	392	1121
259	392	1118
260	393	1114
261	394	1111
262	395	1107
263	395	1103
264	396	1100
265	397	1097
266	398	1094
267	399	1091
268	400	1088
269	401	1084
270	402	1081
271	402	1078
272	403	1074
273	404	1072
274	405	1069
275	406	1066
276	407	1063
277	408	1060
278	408	1056
279	409	1053
280	410	1050
281	411	1047
282	412	1044
283	413	1041
284	414	1038
285	415	1036
286	416	1033
287	416	1030
288	417	1027
289	418	1024
290	419	1022
291	420	1019
292	421	1016
293	422	1014
294	423	1011
295	424	1008
296	424	1005
297	425	1002
298	426	1000
299	427	998
300	429	996
301	430	994
302	431	993
303	432	990
304	433	987
305	434	984
306	435	982
307	436	979
308	437	978
309	438	975
310	439	972
311	439	970
312	440	967
313	442	966
314	443	964
315	444	962
316	445	959
317	446	956
318	446	954
319	447	951
320	448	949
321	449	946
322	450	944
323	451	942
324	452	940
325	453	937
326	454	935
327	455	934
328	457	932
329	458	930
330	459	928
331	460	926
332	461	924
333	462	921
334	463	919
335	464	917
336	464	914
337	465	912
338	466	909
339	467	907
340	468	905
341	469	903
342	470	901
343	471	899
344	472	897
345	474	895
346	475	893
347	476	892
348	477	890
349	478	887
350	478	885
351	479	883
352	480	881
353	481	879
354	482	876
355	483	874
356	484	873
357	485	871
358	486	869
359	487	867
360	488	864
361	489	862
362	490	860
363	491	858
364	492	857
365	493	855
366	494	853
367	495	851
368	496	848
369	497	846
370	498	844
371	498	842
372	500	840
373	501	838
374	502	836
375	503	834
376	503	832
377	504	830
378	505	828
379	506	825
380	506	823
381	507	821
382	508	818
383	509	816
384	509	814
385	510	812
386	511	810
387	512	807
388	512	805
389	513	803
390	514	801
391	515	799
392	516	798
393	518	796
394	519	795
395	520	793
396	521	791
397	522	790
398	523	788
399	524	786
400	524	783
401	525	781
402	526	779
403	527	777
404	527	775
405	528	773
406	529	771
407	530	770
408	532	769
409	533	767
410	534	766
411	535	764
412	536	762
413	537	760
414	537	758
415	538	756
416	539	753
417	539	751
418	540	749
419	541	747
420	542	745
421	542	743
422	543	741
423	544	739
424	545	738
425	546	736
426	547	735
427	548	733
428	549	731
429	550	729
430	551	727
431	551	725
432	552	724
433	553	722
434	554	720
435	555	718
436	555	716
437	556	714
438	557	712
439	558	710
440	559	708
441	559	706
442	560	705
443	562	704
444	563	702
445	564	701
446	565	699
447	566	697
448	567	696
449	567	694
450	568	692
451	569	690
452	570	688
453	571	687
454	571	685
455	572	683
456	573	681
457	574	680
458	576	679
459	577	678
460	579	677
461	580	675
462	580	673
463	581	672
464	582	670
465	583	668
466	584	666
467	585	665
468	586	663
469	586	661
470	587	660
471	588	658
472	589	657
473	591	655
474	592	654
475	593	652
476	594	651
477	595	649
478	595	648
479	596	646
480	597	645
481	598	643
482	599	641
483	600	639
484	600	637
485	601	636
486	602	634
487	603	632
488	604	631
489	605	629
490	606	628
491	607	627
492	609	626
493	610	624
494	610	623
495	612	622
496	613	620
497	613	618
498	614	616
499	615	615
500	615	613
501	616	611
502	617	610
503	618	608
504	619	607
505	620	606
506	622	605
507	623	604
508	624	602
509	625	600
510	626	599
511	627	597
512	628	596
513	628	594
514	629	592
515	630	591
516	631	590
517	632	588
518	633	587
519	634	585
520	635	584
521	636	583
522	637	581
523	638	580
524	639	578
525	640	577
526	641	575
527	642	574
528	643	572
529	643	570
530	644	569
531	645	567
532	645	565
533	646	564
534	647	563
535	648	561
536	650	560
537	650	559
538	652	557
539	653	556
540	653	554
541	654	553
542	656	552
543	656	550
544	657	549
545	658	547
546	659	546
547	660	544
548	660	542
549	661	541
550	662	540
551	664	539
552	665	537
553	666	536
554	667	535
555	668	533
556	669	532
557	669	530
558	670	529
559	671	527
560	672	526
561	673	524
562	673	523
563	674	521
564	675	520
565	676	518
566	677	517
567	678	516
568	680	515
569	681	513
570	682	512
571	683	511
572	684	509
573	685	508
574	686	507
575	686	505
576	687	504
577	688	502
578	689	501
579	689	499
580	690	498
581	692	497
582	693	495
583	694	494
584	695	493
585	696	492
586	697	491
587	698	489
588	699	488
589	700	486
590	700	485
591	701	483
592	702	482
593	703	480
594	704	479
595	705	478
596	706	477
597	707	475
598	709	474
599	710	473
600	711	472
601	712	470
602	712	469
603	713	467
604	714	466
605	715	465
606	716	463
607	717	462
608	717	460
609	718	459
610	719	457
611	720	456
612	721	455
613	722	454
614	724	453
615	725	452
616	726	451
617	727	449
618	728	448
619	729	446
620	729	445
621	730	444
622	731	442
623	732	441
624	734	440
625	736	440
626	737	439
627	739	437
628	740	436
629	741	435
630	741	433
631	742	432
632	743	431
633	744	429
634	745	428
635	746	426
636	746	425
637	747	424
638	748	422
639	748	421
640	750	420
641	751	418
642	752	417
643	753	416
644	754	415
645	755	414
646	756	412
647	757	411
648	758	410
649	766	412
650	766	411
651	768	409
652	769	408
653	770	407
654	771	406
655	771	404
656	772	403
657	773	401
658	774	400
659	774	399
660	775	397
661	776	396
662	777	395
663	779	394
664	781	393
665	782	392
666	783	391
667	785	390
668	786	388
669	787	387
670	788	386
671	789	385
672	790	384
673	791	382
674	792	381
675	793	380
676	794	378
